,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
2278,navigation  element,['Navigation Buoys' 'Marine Navigation Equipment' 'Element Screens'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6851 6715 8491],[127 187 168]
2279,navigation  element,['Navigation Buoys' 'Marine Navigation Equipment' 'Element Screens'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6851 6715 8491],[127 187 168]
2280,navigation  element,['Navigation Buoys' 'Marine Navigation Equipment' 'Element Screens'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6851 6715 8491],[127 187 168]
2281,task,['Project Coordination' 'Project Directory' 'Project Identification'],['Hand change tax' 'Advice on planning' 'Artistically designed component'],[325   2 461],[  4 299 291]
2282,alignment,['Nuclear Fuel Fusion Reactors' 'Bonds' 'Bond Forms'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8731  510  173],[327 102 104]
2283,alignment,['Nuclear Fuel Fusion Reactors' 'Bonds' 'Bond Forms'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8731  510  173],[327 102 104]
2284,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2285,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2286,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2287,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2288,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2289,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2290,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2291,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2292,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2293,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2294,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
2295,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2296,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2297,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2298,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2299,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2300,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2301,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2302,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2303,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2304,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
2305,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2306,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2307,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2308,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2309,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2310,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2311,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2312,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2313,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2314,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2315,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2316,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
2317,built  system,['Metal Building Systems' 'Building Modules' 'Building Demolition'],['Recreation system built in' 'Commissioning building' 'System roof'],[3430 3447  661],[236 318 166]
2318,built  system,['Metal Building Systems' 'Building Modules' 'Building Demolition'],['Recreation system built in' 'Commissioning building' 'System roof'],[3430 3447  661],[236 318 166]
2319,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2320,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2321,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2322,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2323,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2324,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2325,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2326,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2327,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2328,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2329,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2330,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2331,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2332,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2333,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2334,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2335,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2336,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2337,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2338,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2339,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2340,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2341,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2342,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2343,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2344,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2345,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2346,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2347,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2348,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
2349,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2350,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2351,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2352,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2353,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2354,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
2355,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2356,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2357,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2358,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2359,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2360,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2361,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2362,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2363,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2364,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
2365,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
2366,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
2367,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
2368,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
2369,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
2370,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2371,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2372,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2373,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2374,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2375,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
2376,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2377,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2378,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2379,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2380,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2381,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
2382,opening  element,['Openings' 'Schedules for Openings' 'Commissioning of Openings'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[1698 1767 1780],[127 187 168]
2383,opening  element,['Openings' 'Schedules for Openings' 'Commissioning of Openings'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[1698 1767 1780],[127 187 168]
2384,opening  element,['Openings' 'Schedules for Openings' 'Commissioning of Openings'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[1698 1767 1780],[127 187 168]
2385,opening  element,['Openings' 'Schedules for Openings' 'Commissioning of Openings'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[1698 1767 1780],[127 187 168]
2386,projection  element,"['Projection Screens' 'Portable Projection Screens'
 'Fixed Projection Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[2886 2888 2887],[127 187 168]
2387,projection  element,"['Projection Screens' 'Portable Projection Screens'
 'Fixed Projection Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[2886 2888 2887],[127 187 168]
2388,projection  element,"['Projection Screens' 'Portable Projection Screens'
 'Fixed Projection Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[2886 2888 2887],[127 187 168]
2389,projection  element,"['Projection Screens' 'Portable Projection Screens'
 'Fixed Projection Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[2886 2888 2887],[127 187 168]
2390,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2391,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2392,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2393,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2394,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2395,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2396,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2397,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2398,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2399,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
2400,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2401,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2402,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2403,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2404,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2405,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2406,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2407,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
2408,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2409,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2410,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2411,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2412,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2413,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2414,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2415,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2416,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2417,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2418,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2419,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
2420,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
